,name,discord,released,release-date,romhack,gametypes,platforms,regions,genres,engines,developers,publishers,created,links
0,! Fishy !,,2003,2003-02-02,False,[],[],[],[],[],[],[],2016-05-28T23:21:12Z,"[{'rel': 'self', 'uri': 'https://www.speedrun.com/api/v1/games/k6qqkx6g'}, {'rel': 'runs', 'uri': 'https://www.speedrun.com/api/v1/runs?game=k6qqkx6g'}, {'rel': 'levels', 'uri': 'https://www.speedrun.com/api/v1/games/k6qqkx6g/levels'}, {'rel': 'categories', 'uri': 'https://www.speedrun.com/api/v1/games/k6qqkx6g/categories'}, {'rel': 'variables', 'uri': 'https://www.speedrun.com/api/v1/games/k6qqkx6g/variables'}, {'rel': 'records', 'uri': 'https://www.speedrun.com/api/v1/games/k6qqkx6g/records'}, {'rel': 'series', 'uri': 'https://www.speedrun.com/api/v1/series/yr4gon12'}, {'rel': 'derived-games', 'uri': 'https://www.speedrun.com/api/v1/games/k6qqkx6g/derived-games'}, {'rel': 'romhacks', 'uri': 'https://www.speedrun.com/api/v1/games/k6qqkx6g/derived-games'}, {'rel': 'leaderboard', 'uri': 'https://www.speedrun.com/api/v1/leaderboards/k6qqkx6g/category/rklgq3rd'}]"
1,! Wild Russia !,,2020,2020-04-28,False,[],[],[],[],[],[],[],2022-11-04T15:52:18Z,"[{'rel': 'self', 'uri': 'https://www.speedrun.com/api/v1/games/268w4876'}, {'rel': 'runs', 'uri': 'https://www.speedrun.com/api/v1/runs?game=268w4876'}, {'rel': 'levels', 'uri': 'https://www.speedrun.com/api/v1/games/268w4876/levels'}, {'rel': 'categories', 'uri': 'https://www.speedrun.com/api/v1/games/268w4876/categories'}, {'rel': 'variables', 'uri': 'https://www.speedrun.com/api/v1/games/268w4876/variables'}, {'rel': 'records', 'uri': 'https://www.speedrun.com/api/v1/games/268w4876/records'}, {'rel': 'series', 'uri': 'https://www.speedrun.com/api/v1/series/yr4gon12'}, {'rel': 'derived-games', 'uri': 'https://www.speedrun.com/api/v1/games/268w4876/derived-games'}, {'rel': 'romhacks', 'uri': 'https://www.speedrun.com/api/v1/games/268w4876/derived-games'}, {'rel': 'leaderboard', 'uri': 'https://www.speedrun.com/api/v1/leaderboards/268w4876/category/xd1q1qz2'}]"
2,!findseed the map,https://discord.gg/NXZyr48,2020,2020-02-22,True,['4xm721op'],[],[],[],[],[],[],2020-02-26T01:39:35Z,"[{'rel': 'self', 'uri': 'https://www.speedrun.com/api/v1/games/3dx2pk41'}, {'rel': 'runs', 'uri': 'https://www.speedrun.com/api/v1/runs?game=3dx2pk41'}, {'rel': 'levels', 'uri': 'https://www.speedrun.com/api/v1/games/3dx2pk41/levels'}, {'rel': 'categories', 'uri': 'https://www.speedrun.com/api/v1/games/3dx2pk41/categories'}, {'rel': 'variables', 'uri': 'https://www.speedrun.com/api/v1/games/3dx2pk41/variables'}, {'rel': 'records', 'uri': 'https://www.speedrun.com/api/v1/games/3dx2pk41/records'}, {'rel': 'series', 'uri': 'https://www.speedrun.com/api/v1/series/y71gezl7'}, {'rel': 'base-game', 'uri': 'https://www.speedrun.com/api/v1/games/j1npme6p'}, {'rel': 'game', 'uri': 'https://www.speedrun.com/api/v1/games/j1npme6p'}, {'rel': 'derived-games', 'uri': 'https://www.speedrun.com/api/v1/games/3dx2pk41/derived-games'}, {'rel': 'romhacks', 'uri': 'https://www.speedrun.com/api/v1/games/3dx2pk41/derived-games'}, {'rel': 'leaderboard', 'uri': 'https://www.speedrun.com/api/v1/leaderboards/3dx2pk41/category/zd3wr1rk'}]"
3,"""Happy"" Platformer",,2022,2022-05-22,False,[],[],[],[],[],[],[],2022-05-25T16:32:57Z,"[{'rel': 'self', 'uri': 'https://www.speedrun.com/api/v1/games/j1n83r91'}, {'rel': 'runs', 'uri': 'https://www.speedrun.com/api/v1/runs?game=j1n83r91'}, {'rel': 'levels', 'uri': 'https://www.speedrun.com/api/v1/games/j1n83r91/levels'}, {'rel': 'categories', 'uri': 'https://www.speedrun.com/api/v1/games/j1n83r91/categories'}, {'rel': 'variables', 'uri': 'https://www.speedrun.com/api/v1/games/j1n83r91/variables'}, {'rel': 'records', 'uri': 'https://www.speedrun.com/api/v1/games/j1n83r91/records'}, {'rel': 'series', 'uri': 'https://www.speedrun.com/api/v1/series/yr4gon12'}, {'rel': 'derived-games', 'uri': 'https://www.speedrun.com/api/v1/games/j1n83r91/derived-games'}, {'rel': 'romhacks', 'uri': 'https://www.speedrun.com/api/v1/games/j1n83r91/derived-games'}, {'rel': 'leaderboard', 'uri': 'https://www.speedrun.com/api/v1/leaderboards/j1n83r91/category/jdzr7962'}]"
4,#21: The World,,2018,2018-02-02,False,[],[],[],[],[],[],[],2022-04-29T13:02:57Z,"[{'rel': 'self', 'uri': 'https://www.speedrun.com/api/v1/games/y655yj46'}, {'rel': 'runs', 'uri': 'https://www.speedrun.com/api/v1/runs?game=y655yj46'}, {'rel': 'levels', 'uri': 'https://www.speedrun.com/api/v1/games/y655yj46/levels'}, {'rel': 'categories', 'uri': 'https://www.speedrun.com/api/v1/games/y655yj46/categories'}, {'rel': 'variables', 'uri': 'https://www.speedrun.com/api/v1/games/y655yj46/variables'}, {'rel': 'records', 'uri': 'https://www.speedrun.com/api/v1/games/y655yj46/records'}, {'rel': 'series', 'uri': 'https://www.speedrun.com/api/v1/series/yr4gon12'}, {'rel': 'derived-games', 'uri': 'https://www.speedrun.com/api/v1/games/y655yj46/derived-games'}, {'rel': 'romhacks', 'uri': 'https://www.speedrun.com/api/v1/games/y655yj46/derived-games'}, {'rel': 'leaderboard', 'uri': 'https://www.speedrun.com/api/v1/leaderboards/y655yj46/category/zd350ryk'}]"
5,#FUNTIME,,2020,2020-07-16,False,[],[],[],[],[],[],[],2021-12-06T16:57:19Z,"[{'rel': 'self', 'uri': 'https://www.speedrun.com/api/v1/games/3dxk5051'}, {'rel': 'runs', 'uri': 'https://www.speedrun.com/api/v1/runs?game=3dxk5051'}, {'rel': 'levels', 'uri': 'https://www.speedrun.com/api/v1/games/3dxk5051/levels'}, {'rel': 'categories', 'uri': 'https://www.speedrun.com/api/v1/games/3dxk5051/categories'}, {'rel': 'variables', 'uri': 'https://www.speedrun.com/api/v1/games/3dxk5051/variables'}, {'rel': 'records', 'uri': 'https://www.speedrun.com/api/v1/games/3dxk5051/records'}, {'rel': 'series', 'uri': 'https://www.speedrun.com/api/v1/series/yr4gon12'}, {'rel': 'derived-games', 'uri': 'https://www.speedrun.com/api/v1/games/3dxk5051/derived-games'}, {'rel': 'romhacks', 'uri': 'https://www.speedrun.com/api/v1/games/3dxk5051/derived-games'}, {'rel': 'leaderboard', 'uri': 'https://www.speedrun.com/api/v1/leaderboards/3dxk5051/category/xd1j0y7d'}]"
6,#SaveDiscord,,2019,2019-06-28,False,[],[],[],[],[],[],[],2021-05-22T15:27:23Z,"[{'rel': 'self', 'uri': 'https://www.speedrun.com/api/v1/games/j1n8eol1'}, {'rel': 'runs', 'uri': 'https://www.speedrun.com/api/v1/runs?game=j1n8eol1'}, {'rel': 'levels', 'uri': 'https://www.speedrun.com/api/v1/games/j1n8eol1/levels'}, {'rel': 'categories', 'uri': 'https://www.speedrun.com/api/v1/games/j1n8eol1/categories'}, {'rel': 'variables', 'uri': 'https://www.speedrun.com/api/v1/games/j1n8eol1/variables'}, {'rel': 'records', 'uri': 'https://www.speedrun.com/api/v1/games/j1n8eol1/records'}, {'rel': 'series', 'uri': 'https://www.speedrun.com/api/v1/series/yr4gon12'}, {'rel': 'derived-games', 'uri': 'https://www.speedrun.com/api/v1/games/j1n8eol1/derived-games'}, {'rel': 'romhacks', 'uri': 'https://www.speedrun.com/api/v1/games/j1n8eol1/derived-games'}, {'rel': 'leaderboard', 'uri': 'https://www.speedrun.com/api/v1/leaderboards/j1n8eol1/category/02q9wz9k'}]"
7,&meow; (Meow),,2016,2016-05-28,False,[],[],[],[],[],[],[],2016-08-08T19:48:46Z,"[{'rel': 'self', 'uri': 'https://www.speedrun.com/api/v1/games/46wxo91r'}, {'rel': 'runs', 'uri': 'https://www.speedrun.com/api/v1/runs?game=46wxo91r'}, {'rel': 'levels', 'uri': 'https://www.speedrun.com/api/v1/games/46wxo91r/levels'}, {'rel': 'categories', 'uri': 'https://www.speedrun.com/api/v1/games/46wxo91r/categories'}, {'rel': 'variables', 'uri': 'https://www.speedrun.com/api/v1/games/46wxo91r/variables'}, {'rel': 'records', 'uri': 'https://www.speedrun.com/api/v1/games/46wxo91r/records'}, {'rel': 'series', 'uri': 'https://www.speedrun.com/api/v1/series/yr4gon12'}, {'rel': 'derived-games', 'uri': 'https://www.speedrun.com/api/v1/games/46wxo91r/derived-games'}, {'rel': 'romhacks', 'uri': 'https://www.speedrun.com/api/v1/games/46wxo91r/derived-games'}, {'rel': 'leaderboard', 'uri': 'https://www.speedrun.com/api/v1/leaderboards/46wxo91r/category/w20zx3vd'}]"
8,'Allo 'Allo! Cartoon Fun!,,1993,1993-01-01,False,[],[],['EUR / PAL'],[],[],[],[],2015-10-16T13:50:43Z,"[{'rel': 'self', 'uri': 'https://www.speedrun.com/api/v1/games/pdvp7kdw'}, {'rel': 'runs', 'uri': 'https://www.speedrun.com/api/v1/runs?game=pdvp7kdw'}, {'rel': 'levels', 'uri': 'https://www.speedrun.com/api/v1/games/pdvp7kdw/levels'}, {'rel': 'categories', 'uri': 'https://www.speedrun.com/api/v1/games/pdvp7kdw/categories'}, {'rel': 'variables', 'uri': 'https://www.speedrun.com/api/v1/games/pdvp7kdw/variables'}, {'rel': 'records', 'uri': 'https://www.speedrun.com/api/v1/games/pdvp7kdw/records'}, {'rel': 'series', 'uri': 'https://www.speedrun.com/api/v1/series/yr4gon12'}, {'rel': 'derived-games', 'uri': 'https://www.speedrun.com/api/v1/games/pdvp7kdw/derived-games'}, {'rel': 'romhacks', 'uri': 'https://www.speedrun.com/api/v1/games/pdvp7kdw/derived-games'}, {'rel': 'leaderboard', 'uri': 'https://www.speedrun.com/api/v1/leaderboards/pdvp7kdw/category/n2yqvoek'}]"
9,'n Verlore Verstand,https://discord.gg/kWNwVwm,2016,2016-02-01,False,[],[],"['USA / NTSC', 'EUR / PAL']",[],[],[],[],2020-09-04T15:45:43Z,"[{'rel': 'self', 'uri': 'https://www.speedrun.com/api/v1/games/m1mx54x6'}, {'rel': 'runs', 'uri': 'https://www.speedrun.com/api/v1/runs?game=m1mx54x6'}, {'rel': 'levels', 'uri': 'https://www.speedrun.com/api/v1/games/m1mx54x6/levels'}, {'rel': 'categories', 'uri': 'https://www.speedrun.com/api/v1/games/m1mx54x6/categories'}, {'rel': 'variables', 'uri': 'https://www.speedrun.com/api/v1/games/m1mx54x6/variables'}, {'rel': 'records', 'uri': 'https://www.speedrun.com/api/v1/games/m1mx54x6/records'}, {'rel': 'series', 'uri': 'https://www.speedrun.com/api/v1/series/yr4gon12'}, {'rel': 'derived-games', 'uri': 'https://www.speedrun.com/api/v1/games/m1mx54x6/derived-games'}, {'rel': 'romhacks', 'uri': 'https://www.speedrun.com/api/v1/games/m1mx54x6/derived-games'}]"
